time_of_day,PULocationID,demand,avg_fare,total_revenue,hour,day_of_week,month,is_weekend
Evening Rush,163,238.73885793871867,16.035478512496077,8658343.42,16,0,1,0
Evening Rush,164,171.266713091922,16.33094640814547,6288814.82,16,0,1,0
Evening Rush,166,37.9066852367688,16.977856105224397,1325178.4,16,0,1,0
Evening Rush,170,225.45473537604457,16.16037198414431,8260640.62,16,0,1,0
Evening Rush,186,212.68871866295265,17.85815666536433,8347221.62,16,0,1,0
Evening Rush,194,1.33015873015873,52.114841269841264,29383.73,16,6,3,1
Evening Rush,202,1.1899109792284865,30.7342334322453,14881.22,16,4,2,0
Evening Rush,209,15.315642458100559,22.673522675720072,688352.3099999999,16,1,1,0
Evening Rush,211,65.63370473537604,17.345993669617474,2453879.78,16,0,1,0
Evening Rush,224,8.28481455563331,16.577669919765675,287847.2,18,0,1,0
Evening Rush,229,122.29596100278552,14.572556689379041,4122127.11,16,0,1,0
Evening Rush,230,242.56245638520585,18.290805470458473,9716714.94,16,0,1,0
Evening Rush,231,103.91016713091922,19.009098135607495,4220037.14,16,0,1,0
Evening Rush,232,8.0,21.70878910854684,330651.59,16,1,1,0
Evening Rush,233,92.03621169916434,16.87664141708232,3466894.03,16,0,1,0
Evening Rush,234,217.83495821727018,14.72976821739763,7440020.05,16,0,1,0
Evening Rush,236,324.42200557103064,13.561410061173966,10397731.2,16,0,1,0
Evening Rush,237,371.0550139275766,13.74796659923723,12080121.77,16,0,1,0
Evening Rush,238,134.4700557103064,13.617746708032007,4253612.39,16,0,1,0
Evening Rush,239,203.2715877437326,13.81087701131032,6564827.05,16,0,1,0
Evening Rush,243,2.1945432977461445,27.823518476152817,59809.92,18,4,1,0
Evening Rush,244,5.0457957957957955,23.9983395776206,198224.34,17,1,1,0
Evening Rush,246,159.22144846796658,16.571040517054538,5847985.52,16,0,1,0
Evening Rush,249,115.8941504178273,14.789091663184385,3920292.16,16,0,1,0
Evening Rush,261,47.049442896935936,23.24623598496766,2215891.08,16,0,1,0
Evening Rush,262,86.52855153203343,14.765604417026942,2908797.34,16,0,1,0
Evening Rush,263,124.18732590529248,13.530529467021605,3937415.34,16,0,1,0
Late Night,4,16.43776824034335,18.253589574685982,628809.05,0,3,1,0
Late Night,12,1.1320754716981132,27.31876572327044,4491.36,0,5,1,1
Late Night,13,2.789763779527559,30.76614476477959,134278.06,1,1,1,0
Late Night,24,2.5016329196603526,18.431020142682353,96244.43,0,1,1,0
Late Night,41,3.666271487848251,18.857833609654588,147155.02,0,1,1,0
Late Night,42,2.628552544613351,19.100477788798923,94491.99,1,1,1,0
Late Night,43,4.616568047337278,21.045242839897167,207455.5,0,1,1,0
Late Night,45,5.572089437162683,21.815351994672383,194560.4,0,3,1,0
Late Night,48,62.53646075243846,17.40925919031665,3322356.36,0,0,1,0
Late Night,50,8.962797619047619,17.813859724035453,441592.33,4,0,1,0
Late Night,68,42.13714551371455,18.008642256769715,2213752.63,0,0,1,0
Late Night,74,3.4257256687535573,16.923242171157934,130368.86,0,1,1,0
Late Night,75,5.06,17.485462810247896,229948.82,0,1,1,0
Late Night,79,116.236878773804,16.523506705559786,5647112.3,0,0,1,0
Late Night,87,8.711873944850872,27.70963342778912,487114.99,0,1,1,0
Late Night,88,6.670503597122302,26.11161449703086,288723.27,0,2,1,0
Late Night,90,31.649302325581395,17.863973856536422,1594516.55,0,0,1,0
Late Night,100,24.911286576869486,18.247696877949775,1308445.78,0,0,1,0
Late Night,107,34.44930232558139,16.124136223219264,1643790.26,0,0,1,0
Late Night,113,27.655945419103315,17.12810061645702,1252404.67,3,0,1,0
Late Night,114,77.94807050976655,16.98500964206709,3648805.58,3,0,1,0
Late Night,116,2.223555888972243,20.436746483058,74120.6,0,2,1,0
Late Night,120,1.0,25.154285714285713,193.07999999999998,0,6,10,1
Late Night,125,14.2884111169376,18.577228659020825,638209.98,0,1,1,0
Late Night,127,1.286644951140065,25.999134093376767,11518.74,3,5,2,1
Late Night,128,1.0,26.11333333333333,280.31,0,4,7,0
Late Night,137,15.240037505860291,15.242411503515985,711550.02,0,0,1,0
Late Night,140,8.81758652946679,16.978366059140924,473366.99,0,0,1,0
Late Night,141,18.315323707498834,15.768539149435012,893973.62,0,0,1,0
Late Night,142,17.755450236966826,20.521065411980405,964529.55,1,0,1,0
Late Night,143,5.043783783783784,18.484283921895862,245105.28,0,1,1,0
Late Night,144,47.0528992878942,17.7305543353335,2048531.28,0,1,1,0
Late Night,148,84.14955040227166,18.85790363901415,4295243.46,4,0,1,0
Late Night,151,4.276155071694105,18.669126839802573,207722.45,0,1,1,0
Late Night,152,1.697601668404588,18.4329760415115,37178.95,2,4,1,0
Late Night,153,1.05,27.996249999999996,1272.54,0,2,5,0
Late Night,158,40.47496281606346,18.792080930669442,1894163.56,0,1,1,0
Late Night,161,24.845759552656105,26.053605535727954,1549947.95,0,0,1,0
Late Night,162,20.655172413793103,20.781774949130618,1164858.93,0,0,1,0
Late Night,163,21.53441860465116,23.767958030474908,1294398.6,0,0,1,0
Late Night,164,36.11849442379182,19.14220291082776,1897038.01,0,0,1,0
Late Night,166,3.637777777777778,17.94305803518218,160097.73,0,1,1,0
Late Night,170,22.717218852076527,20.173617776529834,1233987.71,0,0,1,0
Late Night,186,43.29633070134696,16.815528681571873,2276203.78,0,0,1,0
Late Night,194,1.0476190476190477,56.88880952380952,6421.42,1,6,3,1
Late Night,202,1.0758620689655172,30.91772413793103,5816.24,3,0,3,0
Late Night,209,6.464727272727273,24.499435252956378,252353.6,0,3,1,0
Late Night,211,26.06607236497116,17.718150066253525,1119139.43,0,1,1,0
Late Night,224,3.652977412731006,17.96971066947192,129862.96,0,1,1,0
Late Night,229,15.827956989247312,17.139282965513868,798252.88,0,0,1,0
Late Night,230,44.56432884347422,24.734899806589873,2902626.18,0,0,1,0
Late Night,231,26.384765625,19.92087146897225,1327677.03,1,0,1,0
Late Night,232,6.913230769230769,21.11852419380961,302217.3,0,2,1,0
Late Night,233,8.803545759463345,22.551788000197686,547838.44,1,0,1,0
Late Night,234,33.94326241134752,17.322713490589603,1626424.83,2,0,1,0
Late Night,236,9.932744231713304,17.11764310006987,510614.21,1,0,1,0
Late Night,237,17.699290780141844,16.403342936485057,845718.93,0,0,1,0
Late Night,238,8.845780795344325,18.80676630889811,478614.84,1,0,1,0
Late Night,239,14.648687350835322,19.081397626907023,789091.43,4,0,1,0
Late Night,243,1.4549019607843137,26.988583006535947,23558.51,0,5,1,1
Late Night,244,1.8527865404837014,22.612895752541654,47984.71,0,3,1,0
Late Night,246,30.72998046875,17.103850588091092,1458505.3699999999,3,0,1,0
Late Night,249,98.04790697674419,17.226397465629194,4857261.28,0,0,1,0
Late Night,261,4.470854555744199,31.0965080666715,285984.58,0,1,1,0
Late Night,262,6.5005263157894735,19.275858597476628,365223.89,1,1,1,0
Late Night,263,19.61893656716418,15.955457813544342,979319.4,1,0,1,0
Midday,4,4.674757281553398,19.99632506735826,241803.59,10,2,1,0
Midday,12,4.722980062959077,25.37336161189017,301705.38,11,4,1,0
Midday,13,39.05074487895717,24.605612484127963,2851123.32,10,1,1,0
Midday,24,17.15223463687151,16.24926206684993,817516.09,10,1,1,0
Midday,41,16.83426183844011,17.594711872396992,806851.95,10,0,1,0
Midday,42,8.138188608776844,22.02835247510902,437937.13,10,1,1,0
Midday,43,129.90980939098094,15.725124669299618,6428387.46,14,0,1,0
Midday,45,8.375292466073935,22.50595355443715,536431.54,10,2,1,0
Midday,48,107.78876508820798,17.47640983316083,5783810.66,10,0,1,0
Midday,50,36.6949860724234,16.114650483815655,1826598.36,10,0,1,0
Midday,68,154.941504178273,19.157560954719884,9070533.74,10,0,1,0
Midday,74,15.83697166744078,17.92009133306665,758187.13,11,0,1,0
Midday,75,46.337975858867225,16.531690462570893,2193977.23,10,0,1,0
Midday,79,72.34029712163417,16.115194487901107,3587922.86,10,0,1,0
Midday,87,27.253835425383542,25.212581338236497,1976571.19,13,0,1,0
Midday,88,16.752793296089386,26.17761482624333,1245069.25,10,1,1,0
Midday,90,83.62488393686165,15.634633848993438,4146315.72,10,0,1,0
Midday,100,82.46285979572887,19.02680858534429,4762173.3,10,0,1,0
Midday,107,107.0552460538533,15.699904813477621,5265855.2,10,0,1,0
Midday,113,73.74883936861653,15.17629847882436,3544196.85,10,0,1,0
Midday,114,41.30547818012999,15.759866954813498,2042002.51,10,0,1,0
Midday,116,4.8934229476716276,21.980253956318016,266141.38,15,1,1,0
Midday,120,1.0476190476190477,39.62214285714286,1037.45,13,3,10,0
Midday,125,24.98096564531105,17.92054120866605,1376610.14,10,0,1,0
Midday,127,1.4666666666666666,35.63531239669422,56725.979999999996,14,4,2,0
Midday,128,1.0517241379310345,28.48409482758621,2057.86,13,5,6,1
Midday,137,63.75812441968431,16.033174447499977,3150898.77,10,0,1,0
Midday,140,148.58124419684307,15.745652150448269,7370599.17,10,0,1,0
